price,negotiable,bedrooms,bathrooms,city,district,house_size_sqft,land_size_perches
46500000.0,0,2,2,20,4,3163.0,10.0
25000000.0,1,3,2,166,4,2850.0,12.0
25000000.0,1,3,3,96,4,2850.0,8.0
15500000.0,0,3,1,166,4,2850.0,7.2
25000000.0,0,3,2,20,4,2850.0,10.0
25000000.0,0,2,1,128,4,2850.0,15.0
28000000.0,1,2,1,20,4,2850.0,9.3
26000000.0,0,5,2,166,4,2680.0,14.6
14000000.0,0,1,1,166,4,2850.0,5.0
21000000.0,1,3,1,166,4,2850.0,7.0
24500000.0,0,3,3,128,4,2850.0,7.0
12500000.0,0,3,1,166,4,2850.0,10.0
19000000.0,0,2,1,166,4,2850.0,11.0
25000000.0,0,3,2,50,6,1126.0,7.0
10000000.0,0,3,2,61,4,2850.0,11.0
9500000.0,0,3,1,92,13,2850.0,32.0
9700000.0,0,3,2,166,4,2850.0,11.0
21000000.0,0,4,3,61,4,2850.0,8.5
8750000.0,1,3,2,73,9,2850.0,26.0
21500000.0,0,3,3,73,9,2850.0,11.75
14500000.0,0,3,1,76,10,2850.0,10.0
79000000.0,0,5,3,50,6,4000.0,20.0
16500000.0,0,3,2,50,6,2850.0,11.0
34000000.0,0,3,3,50,6,3540.0,7.5
95000000.0,0,3,3,50,6,2500.0,19.25
62500000.0,0,1,1,50,6,3500.0,38.0
23000000.0,0,4,2,50,6,2850.0,11.0
33000000.0,0,6,2,166,4,2850.0,11.0
35000000.0,0,5,3,166,4,2850.0,15.0
55000000.0,0,6,6,166,4,4000.0,12.0
45000000.0,1,4,2,166,4,2580.0,11.66
19000000.0,0,3,1,166,4,1400.0,11.0
22500000.0,0,3,2,166,4,2800.0,8.0
33500000.0,0,4,3,50,6,2850.0,11.0
80000000.0,0,4,2,166,4,2850.0,34.0
38000000.0,0,4,2,166,4,2500.0,13.5
30000000.0,0,3,2,166,4,2850.0,10.0
65000000.0,0,5,3,166,4,3000.0,13.5
43500000.0,1,4,3,166,4,2500.0,12.0
40000000.0,1,3,1,166,4,1000.0,11.0
60000000.0,1,5,2,50,6,2850.0,12.5
52000000.0,0,3,2,50,6,2850.0,11.0
21500000.0,0,3,3,166,4,1200.0,6.0
19000000.0,0,4,2,166,4,2850.0,6.0
26500000.0,0,2,2,50,6,1500.0,14.0
115000000.0,1,5,2,166,4,2850.0,26.8
15000000.0,0,4,2,166,4,2850.0,3.0
62500000.0,0,4,4,166,4,4250.0,8.0
39000000.0,0,4,2,166,4,2700.0,15.1
75000000.0,1,5,4,166,4,4200.0,16.0
46000000.0,0,4,2,166,4,2400.0,8.0
135000000.0,0,7,6,166,4,5000.0,31.0
39000000.0,0,5,3,50,6,4400.0,10.0
21500000.0,0,3,3,166,4,1200.0,6.0
69500000.0,0,5,4,166,4,2850.0,20.0
26000000.0,0,3,2,50,6,1990.0,7.0
37500000.0,0,5,3,8,4,2800.0,8.5
75000000.0,0,4,3,133,4,3200.0,18.9
42500000.0,0,6,3,166,4,3000.0,15.0
39000000.0,1,5,3,50,6,4400.0,10.0
250000000.0,0,6,6,166,4,5500.0,11.0
37000000.0,1,4,2,166,4,1800.0,8.0
47000000.0,0,5,4,166,4,2500.0,10.0
35500000.0,0,4,2,166,4,3000.0,10.0
33000000.0,0,4,2,166,4,2400.0,10.0
40000000.0,0,3,2,166,4,2500.0,6.1
19500000.0,1,3,2,166,4,2850.0,7.0
89000000.0,0,3,3,50,6,4200.0,11.5
35000000.0,1,5,2,50,6,3000.0,10.0
22000000.0,0,3,2,166,6,2850.0,10.0
450000000.0,0,6,7,135,18,8000.0,19.0
60000000.0,0,6,3,166,4,3846.0,23.5
32000000.0,0,3,2,50,6,2850.0,6.5
42500000.0,1,5,3,166,4,2850.0,10.0
25000000.0,1,3,2,166,4,1450.0,7.5
67500000.0,0,3,3,166,4,2900.0,8.5
28500000.0,0,4,3,166,4,2080.0,10.4
78500000.0,0,5,4,166,4,2800.0,8.8
47500000.0,0,5,3,166,4,2850.0,13.5
18500000.0,1,3,1,8,4,2850.0,10.0
22000000.0,1,3,3,166,4,2850.0,8.4
37500000.0,0,4,4,166,4,2850.0,11.0
165000000.0,0,5,4,166,4,5300.0,17.0
37500000.0,1,3,4,166,4,3200.0,7.0
25500000.0,1,3,3,166,4,2850.0,8.0
33000000.0,0,4,3,166,4,2305.0,7.4
50000000.0,0,10,4,50,6,2850.0,16.5
17500000.0,0,4,3,166,4,2850.0,10.0
24900000.0,0,5,3,50,6,2850.0,13.0
140000000.0,1,3,2,166,4,2000.0,8.7
23500000.0,0,7,5,166,4,2850.0,5.25
2300000.0,0,2,1,166,4,2850.0,11.0
400000000.0,0,6,6,76,10,2850.0,11.0
45000000.0,0,4,2,166,4,2850.0,8.5
76000000.0,0,3,2,166,4,2850.0,20.0
11000000.0,0,1,1,96,4,2850.0,5.0
26000000.0,1,3,2,166,4,2850.0,8.7
27000000.0,0,4,2,50,6,2850.0,11.0
35000000.0,0,1,1,50,6,2850.0,20.0
79000000.0,0,5,7,50,6,5000.0,12.75
23000000.0,1,2,1,50,6,2850.0,8.5
8000000.0,0,2,1,166,4,2850.0,7.0
43000000.0,0,1,1,30,4,537.0,11.0
35000000.0,1,3,1,166,4,950.0,6.0
6500000.0,1,2,1,126,9,2850.0,5.0
