negotiable,bedrooms,bathrooms,city,district,house_size_sqft,land_size_perches,price
1,4,2,35,4,2850.0,7.37,200000000.0
0,3,2,166,4,2850.0,7.9,47000000.0
0,1,1,112,16,2850.0,20.0,2600000.0
0,3,1,166,4,2850.0,12.0,13000000.0
1,2,2,73,9,2850.0,10.0,11000000.0
1,4,2,166,4,2250.0,10.0,29500000.0
0,1,1,62,9,2500.0,15.5,5200000.0
0,5,1,166,4,2200.0,6.0,50000000.0
1,3,2,166,4,2850.0,7.0,16000000.0
0,1,1,89,4,2850.0,75.0,120000000.0
0,3,2,166,6,2850.0,20.0,18500000.0
0,4,1,76,10,2850.0,33.0,17500000.0
0,3,2,50,6,2850.0,6.5,32000000.0
0,1,1,166,4,2850.0,3.5,15000000.0
0,5,3,50,6,2850.0,11.0,13500000.0
1,3,1,126,9,2850.0,16.5,13500000.0
0,4,2,73,9,2850.0,74.0,16000000.0
0,4,2,166,6,2200.0,12.0,43000000.0
0,3,2,50,6,1126.0,7.0,25000000.0
0,1,1,166,4,2850.0,6.0,12000000.0
1,4,2,73,9,2850.0,10.9,17000000.0
0,4,2,82,4,2850.0,10.0,38000000.0
0,5,4,166,4,4017.0,38.31,139300000.0
0,3,1,50,6,2850.0,7.5,10500000.0
1,5,4,166,10,2850.0,12.0,49500000.0
0,2,1,166,4,2850.0,12.7,21590000.0
0,5,2,166,4,2850.0,11.42,45000000.0
0,1,1,137,19,2850.0,11.0,11000000.0
0,1,1,119,6,2850.0,11.0,8000000.0
0,4,2,166,4,5700.0,17.8,265000000.0
1,4,3,166,4,3500.0,21.0,75000000.0
0,5,4,41,4,2850.0,11.0,55000000.0
0,2,2,126,9,2850.0,11.0,13500000.0
1,4,5,166,4,2850.0,9.25,76000000.0
1,5,2,84,6,2850.0,30.0,30000000.0
0,3,2,61,4,2850.0,10.0,14000000.0
1,4,2,101,15,2850.0,28.0,9500000.0
0,1,1,126,9,2850.0,20.0,11500000.0
1,3,1,166,13,1500.0,12.5,8500000.0
0,1,1,13,9,2850.0,12.0,4500000.0
0,4,4,29,4,1360.0,7.0,28000000.0
0,2,2,50,6,2850.0,5.5,16500000.0
1,4,4,32,4,3500.0,16.4,300000000.0
0,3,1,166,4,1200.0,11.5,14500000.0
0,1,1,166,4,2850.0,19.5,10000000.0
0,2,1,166,6,2850.0,5.0,4500000.0
0,2,1,48,5,2850.0,44.0,6000000.0
0,4,3,76,10,2850.0,10.26,29500000.0
1,5,2,50,6,2850.0,42.0,39500000.0
1,6,3,133,4,2850.0,11.0,16000000.0
0,2,2,166,4,800.0,10.0,88000.0
0,2,1,50,6,2850.0,14.0,4000000.0
0,1,1,66,6,2850.0,11.0,17800000.0
0,5,2,92,13,2850.0,15.0,23500000.0
0,3,1,166,4,2850.0,20.0,58000000.0
1,3,2,166,6,2850.0,10.0,18000000.0
1,4,2,166,6,2850.0,22.0,18500000.0
0,5,2,92,13,2850.0,15.0,11800000.0
0,3,1,50,6,2850.0,11.0,16000000.0
1,3,2,42,6,2850.0,13.5,11000000.0
0,3,2,50,6,1250.0,18.0,20000000.0
1,3,2,166,4,1400.0,11.0,22000000.0
0,5,2,166,4,2850.0,14.0,30000000.0
0,4,3,166,6,2000.0,10.0,35000000.0
1,3,2,15,4,1182.0,7.5,26000000.0
0,7,5,162,4,2850.0,5.25,23500000.0
1,5,1,166,6,2850.0,6.0,10500000.0
